home_team,away_team,home_score,away_score,match_date,confederation,tournament,tournament_stage,home_team_fifa_ranking,away_team_fifa_ranking
Ivory Coast,Gambia,1,0,2024-09-08,CAF,World Cup Qualifier,Qualifier,33,116
Ivory Coast,Kenya,3,0,2024-10-11,CAF,World Cup Qualifier,Qualifier,33,89
Ivory Coast,Burundi,1,0,2024-10-14,CAF,World Cup Qualifier,Qualifier,33,116
Ivory Coast,Seychelles,9,0,2025-03-21,CAF,World Cup Qualifier,Qualifier,33,200
Gabon,Ivory Coast,0,0,2024-09-08,CAF,World Cup Qualifier,Qualifier,87,33
Gambia,Ivory Coast,0,2,2024-09-05,CAF,World Cup Qualifier,Qualifier,116,33
Kenya,Ivory Coast,0,1,2024-10-14,CAF,World Cup Qualifier,Qualifier,89,33
Burundi,Ivory Coast,0,1,2024-10-11,CAF,World Cup Qualifier,Qualifier,116,33
Seychelles,Ivory Coast,0,7,2025-03-24,CAF,World Cup Qualifier,Qualifier,200,33
Gabon,Gambia,3,2,2024-09-05,CAF,World Cup Qualifier,Qualifier,87,116
Gabon,Kenya,2,1,2024-10-11,CAF,World Cup Qualifier,Qualifier,87,89
Gabon,Burundi,2,0,2024-10-14,CAF,World Cup Qualifier,Qualifier,87,116
Gabon,Seychelles,3,0,2025-03-21,CAF,World Cup Qualifier,Qualifier,87,200
Gambia,Gabon,3,4,2024-09-08,CAF,World Cup Qualifier,Qualifier,116,87
Kenya,Gabon,1,2,2024-10-14,CAF,World Cup Qualifier,Qualifier,89,87
Burundi,Gabon,1,2,2024-10-11,CAF,World Cup Qualifier,Qualifier,116,87
Seychelles,Gabon,0,3,2025-03-24,CAF,World Cup Qualifier,Qualifier,200,87
Algeria,Uganda,2,1,2024-09-05,CAF,World Cup Qualifier,Qualifier,29,75
Algeria,Mozambique,5,1,2024-09-08,CAF,World Cup Qualifier,Qualifier,29,78
Algeria,Guinea,1,2,2024-10-11,CAF,World Cup Qualifier,Qualifier,29,77
Algeria,Botswana,3,1,2024-10-14,CAF,World Cup Qualifier,Qualifier,29,150
Algeria,Somalia,3,1,2025-03-21,CAF,World Cup Qualifier,Qualifier,29,200
Uganda,Algeria,1,2,2024-09-08,CAF,World Cup Qualifier,Qualifier,75,29
Mozambique,Algeria,0,2,2024-09-05,CAF,World Cup Qualifier,Qualifier,78,29
Guinea,Algeria,0,0,2024-10-14,CAF,World Cup Qualifier,Qualifier,77,29
Botswana,Algeria,1,3,2024-10-11,CAF,World Cup Qualifier,Qualifier,150,29
Somalia,Algeria,0,3,2025-03-24,CAF,World Cup Qualifier,Qualifier,200,29
Uganda,Mozambique,4,0,2024-09-05,CAF,World Cup Qualifier,Qualifier,75,78
Uganda,Guinea,2,1,2024-10-11,CAF,World Cup Qualifier,Qualifier,75,77
Uganda,Botswana,1,0,2024-10-14,CAF,World Cup Qualifier,Qualifier,75,150
Uganda,Somalia,2,0,2025-03-21,CAF,World Cup Qualifier,Qualifier,75,200
Mozambique,Uganda,3,1,2024-09-08,CAF,World Cup Qualifier,Qualifier,78,75
Guinea,Uganda,2,1,2024-09-08,CAF,World Cup Qualifier,Qualifier,77,75
Botswana,Uganda,0,1,2024-09-05,CAF,World Cup Qualifier,Qualifier,150,75
Somalia,Uganda,0,2,2025-03-24,CAF,World Cup Qualifier,Qualifier,200,75
Tunisia,Namibia,3,0,2024-09-05,CAF,World Cup Qualifier,Qualifier,45,88
Tunisia,Liberia,3,0,2024-09-08,CAF,World Cup Qualifier,Qualifier,45,115
Tunisia,Malawi,2,0,2024-10-11,CAF,World Cup Qualifier,Qualifier,45,120
Tunisia,Equatorial Guinea,1,0,2024-10-14,CAF,World Cup Qualifier,Qualifier,45,108
Tunisia,Sao Tome and Principe,4,0,2025-03-21,CAF,World Cup Qualifier,Qualifier,45,200
Namibia,Tunisia,0,0,2024-09-08,CAF,World Cup Qualifier,Qualifier,88,45
Liberia,Tunisia,0,1,2024-09-05,CAF,World Cup Qualifier,Qualifier,115,45
Malawi,Tunisia,0,1,2024-10-14,CAF,World Cup Qualifier,Qualifier,120,45
Equatorial Guinea,Tunisia,0,1,2024-10-11,CAF,World Cup Qualifier,Qualifier,108,45
Sao Tome and Principe,Tunisia,0,6,2025-03-24,CAF,World Cup Qualifier,Qualifier,200,45
Namibia,Liberia,1,1,2024-09-05,CAF,World Cup Qualifier,Qualifier,88,115
Namibia,Malawi,1,2,2024-10-11,CAF,World Cup Qualifier,Qualifier,88,120
Namibia,Equatorial Guinea,0,3,2024-10-14,CAF,World Cup Qualifier,Qualifier,88,108
Namibia,Sao Tome and Principe,3,0,2025-03-21,CAF,World Cup Qualifier,Qualifier,88,200
Liberia,Namibia,3,1,2024-09-08,CAF,World Cup Qualifier,Qualifier,115,88
Malawi,Namibia,0,1,2024-10-14,CAF,World Cup Qualifier,Qualifier,120,88
Equatorial Guinea,Namibia,0,3,2024-09-05,CAF,World Cup Qualifier,Qualifier,108,88
Sao Tome and Principe,Namibia,0,6,2025-03-24,CAF,World Cup Qualifier,Qualifier,200,88
Ghana,Madagascar,1,0,2024-09-05,CAF,World Cup Qualifier,Qualifier,73,109
Ghana,Mali,1,0,2024-09-08,CAF,World Cup Qualifier,Qualifier,73,52
Ghana,Comoros,1,0,2024-10-11,CAF,World Cup Qualifier,Qualifier,73,110
Ghana,Central African Republic,4,3,2024-10-14,CAF,World Cup Qualifier,Qualifier,73,150
Ghana,Chad,5,0,2025-03-21,CAF,World Cup Qualifier,Qualifier,73,200
Madagascar,Ghana,0,3,2024-09-08,CAF,World Cup Qualifier,Qualifier,109,73
Mali,Ghana,1,2,2024-09-05,CAF,World Cup Qualifier,Qualifier,52,73
Comoros,Ghana,1,0,2024-10-14,CAF,World Cup Qualifier,Qualifier,110,73
Central African Republic,Ghana,0,5,2024-10-11,CAF,World Cup Qualifier,Qualifier,150,73
Chad,Ghana,1,1,2025-03-24,CAF,World Cup Qualifier,Qualifier,200,73
Madagascar,Mali,0,0,2024-09-05,CAF,World Cup Qualifier,Qualifier,109,52
Madagascar,Comoros,2,1,2024-10-11,CAF,World Cup Qualifier,Qualifier,109,110
Madagascar,Central African Republic,2,0,2024-10-14,CAF,World Cup Qualifier,Qualifier,109,150
Madagascar,Chad,3,1,2025-03-21,CAF,World Cup Qualifier,Qualifier,109,200
Mali,Madagascar,4,1,2024-09-08,CAF,World Cup Qualifier,Qualifier,52,109
Comoros,Madagascar,1,2,2024-10-14,CAF,World Cup Qualifier,Qualifier,110,109
Central African Republic,Madagascar,1,4,2024-10-11,CAF,World Cup Qualifier,Qualifier,150,109
Chad,Madagascar,0,3,2025-03-24,CAF,World Cup Qualifier,Qualifier,200,109
Mali,Comoros,3,0,2024-09-05,CAF,World Cup Qualifier,Qualifier,52,110
Mali,Central African Republic,1,0,2024-10-11,CAF,World Cup Qualifier,Qualifier,52,150
Mali,Chad,3,1,2025-03-21,CAF,World Cup Qualifier,Qualifier,52,200
Comoros,Mali,0,3,2024-09-08,CAF,World Cup Qualifier,Qualifier,110,52
Central African Republic,Mali,0,0,2024-10-14,CAF,World Cup Qualifier,Qualifier,150,52
Chad,Mali,0,2,2025-03-24,CAF,World Cup Qualifier,Qualifier,200,52
