home_team,away_team,home_score,away_score,match_date,confederation,tournament,tournament_stage,home_team_fifa_ranking,away_team_fifa_ranking
Belgium,Wales,4,3,2025-03-21,UEFA,World Cup Qualifier,Qualifier,9,48
Belgium,North Macedonia,0,0,2025-03-24,UEFA,World Cup Qualifier,Qualifier,9,67
Belgium,Kazakhstan,6,0,2025-06-06,UEFA,World Cup Qualifier,Qualifier,9,83
Belgium,Liechtenstein,7,0,2025-06-09,UEFA,World Cup Qualifier,Qualifier,9,200
Wales,North Macedonia,7,1,2025-03-24,UEFA,World Cup Qualifier,Qualifier,48,67
Wales,Kazakhstan,3,1,2025-06-06,UEFA,World Cup Qualifier,Qualifier,48,83
Wales,Liechtenstein,3,0,2025-06-09,UEFA,World Cup Qualifier,Qualifier,48,200
North Macedonia,Kazakhstan,1,1,2025-09-05,UEFA,World Cup Qualifier,Qualifier,67,83
North Macedonia,Liechtenstein,5,0,2025-09-08,UEFA,World Cup Qualifier,Qualifier,67,200
Kazakhstan,Liechtenstein,4,0,2025-10-11,UEFA,World Cup Qualifier,Qualifier,83,200
Wales,Belgium,2,4,2025-03-21,UEFA,World Cup Qualifier,Qualifier,48,9
North Macedonia,Belgium,1,1,2025-03-24,UEFA,World Cup Qualifier,Qualifier,67,9
Kazakhstan,Belgium,1,1,2025-06-06,UEFA,World Cup Qualifier,Qualifier,83,9
Liechtenstein,Belgium,0,6,2025-06-09,UEFA,World Cup Qualifier,Qualifier,200,9
North Macedonia,Wales,1,1,2025-03-24,UEFA,World Cup Qualifier,Qualifier,67,48
Kazakhstan,Wales,0,1,2025-06-06,UEFA,World Cup Qualifier,Qualifier,83,48
Liechtenstein,Wales,0,1,2025-06-09,UEFA,World Cup Qualifier,Qualifier,200,48
Kazakhstan,North Macedonia,0,1,2025-09-08,UEFA,World Cup Qualifier,Qualifier,83,67
Liechtenstein,North Macedonia,0,3,2025-09-05,UEFA,World Cup Qualifier,Qualifier,200,67
Liechtenstein,Kazakhstan,0,4,2025-10-14,UEFA,World Cup Qualifier,Qualifier,200,83
England,Albania,2,0,2025-03-21,UEFA,World Cup Qualifier,Qualifier,4,54
England,Serbia,2,0,2025-03-24,UEFA,World Cup Qualifier,Qualifier,4,26
England,Latvia,3,0,2025-06-06,UEFA,World Cup Qualifier,Qualifier,4,120
England,Andorra,2,0,2025-06-09,UEFA,World Cup Qualifier,Qualifier,4,200
Albania,Serbia,0,0,2025-03-24,UEFA,World Cup Qualifier,Qualifier,54,26
Albania,Latvia,1,0,2025-06-06,UEFA,World Cup Qualifier,Qualifier,54,120
Albania,Andorra,3,0,2025-06-09,UEFA,World Cup Qualifier,Qualifier,54,200
Serbia,Latvia,2,1,2025-09-05,UEFA,World Cup Qualifier,Qualifier,26,120
Serbia,Andorra,3,0,2025-09-08,UEFA,World Cup Qualifier,Qualifier,26,200
Latvia,Andorra,2,2,2025-10-11,UEFA,World Cup Qualifier,Qualifier,120,200
Albania,England,0,2,2025-03-21,UEFA,World Cup Qualifier,Qualifier,54,4
Serbia,England,0,5,2025-03-24,UEFA,World Cup Qualifier,Qualifier,26,4
Latvia,England,0,2,2025-06-06,UEFA,World Cup Qualifier,Qualifier,120,4
Andorra,England,0,1,2025-06-09,UEFA,World Cup Qualifier,Qualifier,200,4
Serbia,Albania,0,1,2025-03-24,UEFA,World Cup Qualifier,Qualifier,26,54
Latvia,Albania,1,1,2025-06-06,UEFA,World Cup Qualifier,Qualifier,120,54
Andorra,Albania,0,1,2025-06-09,UEFA,World Cup Qualifier,Qualifier,200,54
Latvia,Serbia,0,1,2025-09-08,UEFA,World Cup Qualifier,Qualifier,120,26
Andorra,Serbia,1,3,2025-09-05,UEFA,World Cup Qualifier,Qualifier,200,26
Andorra,Latvia,0,1,2025-10-14,UEFA,World Cup Qualifier,Qualifier,200,120
Croatia,Czech Republic,5,1,2025-03-21,UEFA,World Cup Qualifier,Qualifier,11,40
Croatia,Faroe Islands,3,1,2025-03-24,UEFA,World Cup Qualifier,Qualifier,11,115
Croatia,Montenegro,4,0,2025-06-06,UEFA,World Cup Qualifier,Qualifier,11,64
Croatia,Gibraltar,3,0,2025-06-09,UEFA,World Cup Qualifier,Qualifier,11,210
Czech Republic,Faroe Islands,2,1,2025-03-24,UEFA,World Cup Qualifier,Qualifier,40,115
Czech Republic,Montenegro,2,0,2025-06-06,UEFA,World Cup Qualifier,Qualifier,40,64
Czech Republic,Gibraltar,6,0,2025-06-09,UEFA,World Cup Qualifier,Qualifier,40,210
Faroe Islands,Montenegro,4,0,2025-09-05,UEFA,World Cup Qualifier,Qualifier,115,64
Faroe Islands,Gibraltar,2,1,2025-09-08,UEFA,World Cup Qualifier,Qualifier,115,210
Montenegro,Gibraltar,3,1,2025-10-11,UEFA,World Cup Qualifier,Qualifier,64,210
Czech Republic,Croatia,0,0,2025-03-21,UEFA,World Cup Qualifier,Qualifier,40,11
Faroe Islands,Croatia,1,3,2025-03-24,UEFA,World Cup Qualifier,Qualifier,115,11
Montenegro,Croatia,2,3,2025-06-06,UEFA,World Cup Qualifier,Qualifier,64,11
Gibraltar,Croatia,0,7,2025-06-09,UEFA,World Cup Qualifier,Qualifier,210,11
Faroe Islands,Czech Republic,2,1,2025-03-24,UEFA,World Cup Qualifier,Qualifier,115,40
Montenegro,Czech Republic,0,2,2025-06-06,UEFA,World Cup Qualifier,Qualifier,64,40
Gibraltar,Czech Republic,0,4,2025-06-09,UEFA,World Cup Qualifier,Qualifier,210,40
Montenegro,Faroe Islands,0,2,2025-09-08,UEFA,World Cup Qualifier,Qualifier,64,115
Gibraltar,Faroe Islands,1,2,2025-09-05,UEFA,World Cup Qualifier,Qualifier,210,115
Gibraltar,Montenegro,1,2,2025-10-14,UEFA,World Cup Qualifier,Qualifier,210,64
